Market,Region,No_of_Orders,Profit,Sales
Africa,Western Africa,251,"-12,901.51","78,476.06"
Africa,Southern Africa,85,"11,768.58","51,319.50"
Africa,North Africa,182,"21,643.08","86,698.89"
Africa,Eastern Africa,110,"8,013.04","44,182.60"
Africa,Central Africa,103,"15,606.30","61,689.99"
Asia Pacific,Western Asia,382,"-16,766.90","124,312.24"
Asia Pacific,Southern Asia,469,"67,998.76","351,806.60"
Asia Pacific,Southeastern Asia,533,"20,948.84","329,751.38"
Asia Pacific,Oceania,646,"54,734.02","408,002.98"
Asia Pacific,Eastern Asia,414,"72,805.10","315,390.77"
Asia Pacific,Central Asia,37,"-2,649.76","8,190.74"
Europe,Western Europe,964,"82,091.27","656,637.14"
Europe,Southern Europe,338,"18,911.49","215,703.93"
Europe,Northern Europe,367,"43,237.44","252,969.09"
Europe,Eastern Europe,241,"25,050.69","108,258.93"
LATAM,South America,496,"12,377.59","210,710.49"
LATAM,Central America,930,"74,679.54","461,670.28"
LATAM,Caribbean,288,"13,529.59","116,333.05"
USCA,Western US,490,"44,303.65","251,991.83"
USCA,Southern US,255,"19,991.83","148,771.91"
USCA,Eastern US,443,"47,462.04","264,973.98"
USCA,Central US,356,"33,697.43","170,416.31"
USCA,Canada,49,"7,246.62","26,298.81"
