Week,chef: (India)
17-03-2019,51
24-03-2019,49
31-03-2019,47
07-04-2019,50
14-04-2019,43
21-04-2019,43
28-04-2019,44
05-05-2019,44
12-05-2019,44
19-05-2019,45
26-05-2019,50
02-06-2019,46
09-06-2019,45
16-06-2019,46
23-06-2019,48
30-06-2019,46
07-07-2019,49
14-07-2019,52
21-07-2019,53
28-07-2019,55
04-08-2019,51
11-08-2019,54
18-08-2019,54
25-08-2019,51
01-09-2019,53
08-09-2019,57
15-09-2019,55
22-09-2019,51
29-09-2019,47
06-10-2019,50
13-10-2019,57
20-10-2019,63
27-10-2019,48
03-11-2019,50
10-11-2019,52
17-11-2019,56
24-11-2019,59
01-12-2019,57
08-12-2019,66
15-12-2019,68
22-12-2019,62
29-12-2019,65
05-01-2020,64
12-01-2020,60
19-01-2020,62
26-01-2020,58
02-02-2020,57
09-02-2020,61
16-02-2020,62
23-02-2020,83
01-03-2020,82
08-03-2020,57
15-03-2020,49
22-03-2020,71
29-03-2020,66
05-04-2020,74
12-04-2020,84
19-04-2020,81
26-04-2020,76
03-05-2020,79
10-05-2020,73
17-05-2020,76
24-05-2020,70
31-05-2020,66
07-06-2020,66
14-06-2020,61
21-06-2020,62
28-06-2020,63
05-07-2020,64
12-07-2020,61
19-07-2020,65
26-07-2020,61
02-08-2020,59
09-08-2020,63
16-08-2020,59
23-08-2020,62
30-08-2020,58
06-09-2020,58
13-09-2020,59
20-09-2020,56
27-09-2020,55
04-10-2020,55
11-10-2020,51
18-10-2020,77
25-10-2020,55
01-11-2020,51
08-11-2020,54
15-11-2020,56
22-11-2020,66
29-11-2020,57
06-12-2020,54
13-12-2020,60
20-12-2020,61
27-12-2020,59
03-01-2021,56
10-01-2021,54
17-01-2021,54
24-01-2021,61
31-01-2021,60
07-02-2021,58
14-02-2021,54
21-02-2021,54
28-02-2021,56
07-03-2021,55
14-03-2021,57
21-03-2021,58
28-03-2021,61
04-04-2021,57
11-04-2021,54
18-04-2021,51
25-04-2021,52
02-05-2021,57
09-05-2021,63
16-05-2021,62
23-05-2021,60
30-05-2021,63
06-06-2021,62
13-06-2021,60
20-06-2021,55
27-06-2021,61
04-07-2021,62
11-07-2021,58
18-07-2021,61
25-07-2021,54
01-08-2021,55
08-08-2021,57
15-08-2021,57
22-08-2021,91
29-08-2021,61
05-09-2021,52
12-09-2021,57
19-09-2021,52
26-09-2021,51
03-10-2021,48
10-10-2021,49
17-10-2021,72
24-10-2021,52
31-10-2021,47
07-11-2021,54
14-11-2021,53
21-11-2021,51
28-11-2021,52
05-12-2021,51
12-12-2021,52
19-12-2021,49
26-12-2021,48
02-01-2022,52
09-01-2022,53
16-01-2022,51
23-01-2022,59
30-01-2022,55
06-02-2022,52
13-02-2022,53
20-02-2022,53
27-02-2022,57
06-03-2022,53
13-03-2022,58
20-03-2022,56
27-03-2022,46
03-04-2022,50
10-04-2022,45
17-04-2022,47
24-04-2022,49
01-05-2022,52
08-05-2022,58
15-05-2022,57
22-05-2022,55
29-05-2022,55
05-06-2022,55
12-06-2022,59
19-06-2022,58
26-06-2022,53
03-07-2022,53
10-07-2022,55
17-07-2022,59
24-07-2022,54
31-07-2022,55
07-08-2022,50
14-08-2022,56
21-08-2022,60
28-08-2022,54
04-09-2022,53
11-09-2022,54
18-09-2022,55
25-09-2022,55
02-10-2022,53
09-10-2022,57
16-10-2022,74
23-10-2022,50
30-10-2022,54
06-11-2022,57
13-11-2022,53
20-11-2022,53
27-11-2022,53
04-12-2022,50
11-12-2022,56
18-12-2022,56
25-12-2022,57
01-01-2023,82
08-01-2023,77
15-01-2023,87
22-01-2023,73
29-01-2023,67
05-02-2023,72
12-02-2023,68
19-02-2023,73
26-02-2023,85
05-03-2023,67
12-03-2023,72
19-03-2023,68
26-03-2023,100
02-04-2023,60
09-04-2023,51
16-04-2023,51
23-04-2023,50
30-04-2023,55
07-05-2023,46
14-05-2023,46
21-05-2023,50
28-05-2023,51
04-06-2023,46
11-06-2023,54
18-06-2023,56
25-06-2023,54
02-07-2023,55
09-07-2023,53
16-07-2023,63
23-07-2023,59
30-07-2023,57
06-08-2023,54
13-08-2023,56
20-08-2023,56
27-08-2023,58
03-09-2023,58
10-09-2023,55
17-09-2023,55
24-09-2023,47
01-10-2023,53
08-10-2023,51
15-10-2023,66
22-10-2023,56
29-10-2023,62
05-11-2023,59
12-11-2023,58
19-11-2023,62
26-11-2023,66
03-12-2023,71
10-12-2023,59
17-12-2023,57
24-12-2023,56
31-12-2023,61
07-01-2024,61
14-01-2024,58
21-01-2024,56
28-01-2024,58
04-02-2024,54
11-02-2024,58
18-02-2024,56
25-02-2024,59
03-03-2024,61
