Week,data analyst: (India)
17-03-2019,18
24-03-2019,19
31-03-2019,19
07-04-2019,19
14-04-2019,17
21-04-2019,19
28-04-2019,18
05-05-2019,19
12-05-2019,20
19-05-2019,20
26-05-2019,24
02-06-2019,19
09-06-2019,19
16-06-2019,23
23-06-2019,21
30-06-2019,21
07-07-2019,23
14-07-2019,23
21-07-2019,24
28-07-2019,24
04-08-2019,23
11-08-2019,24
18-08-2019,23
25-08-2019,23
01-09-2019,21
08-09-2019,24
15-09-2019,23
22-09-2019,24
29-09-2019,22
06-10-2019,21
13-10-2019,22
20-10-2019,21
27-10-2019,20
03-11-2019,22
10-11-2019,23
17-11-2019,26
24-11-2019,21
01-12-2019,23
08-12-2019,23
15-12-2019,22
22-12-2019,19
29-12-2019,21
05-01-2020,25
12-01-2020,23
19-01-2020,26
26-01-2020,27
02-02-2020,26
09-02-2020,25
16-02-2020,23
23-02-2020,28
01-03-2020,26
08-03-2020,23
15-03-2020,19
22-03-2020,13
29-03-2020,16
05-04-2020,18
12-04-2020,19
19-04-2020,20
26-04-2020,21
03-05-2020,20
10-05-2020,21
17-05-2020,23
24-05-2020,21
31-05-2020,23
07-06-2020,22
14-06-2020,23
21-06-2020,23
28-06-2020,25
05-07-2020,24
12-07-2020,26
19-07-2020,25
26-07-2020,26
02-08-2020,24
09-08-2020,23
16-08-2020,24
23-08-2020,25
30-08-2020,24
06-09-2020,25
13-09-2020,28
20-09-2020,23
27-09-2020,22
04-10-2020,25
11-10-2020,21
18-10-2020,21
25-10-2020,22
01-11-2020,21
08-11-2020,20
15-11-2020,26
22-11-2020,25
29-11-2020,25
06-12-2020,27
13-12-2020,25
20-12-2020,24
27-12-2020,25
03-01-2021,29
10-01-2021,26
17-01-2021,29
24-01-2021,31
31-01-2021,33
07-02-2021,29
14-02-2021,31
21-02-2021,32
28-02-2021,29
07-03-2021,31
14-03-2021,31
21-03-2021,32
28-03-2021,33
04-04-2021,31
11-04-2021,33
18-04-2021,35
25-04-2021,34
02-05-2021,34
09-05-2021,37
16-05-2021,41
23-05-2021,43
30-05-2021,40
06-06-2021,44
13-06-2021,39
20-06-2021,38
27-06-2021,43
04-07-2021,43
11-07-2021,40
18-07-2021,40
25-07-2021,38
01-08-2021,40
08-08-2021,37
15-08-2021,37
22-08-2021,38
29-08-2021,38
05-09-2021,36
12-09-2021,38
19-09-2021,37
26-09-2021,36
03-10-2021,35
10-10-2021,28
17-10-2021,37
24-10-2021,35
31-10-2021,25
07-11-2021,38
14-11-2021,37
21-11-2021,42
28-11-2021,44
05-12-2021,43
12-12-2021,46
19-12-2021,42
26-12-2021,37
02-01-2022,53
09-01-2022,51
16-01-2022,57
23-01-2022,57
30-01-2022,60
06-02-2022,55
13-02-2022,62
20-02-2022,59
27-02-2022,60
06-03-2022,59
13-03-2022,59
20-03-2022,62
27-03-2022,57
03-04-2022,60
10-04-2022,55
17-04-2022,62
24-04-2022,62
01-05-2022,56
08-05-2022,62
15-05-2022,62
22-05-2022,60
29-05-2022,61
05-06-2022,64
12-06-2022,66
19-06-2022,72
26-06-2022,71
03-07-2022,66
10-07-2022,76
17-07-2022,73
24-07-2022,73
31-07-2022,72
07-08-2022,67
14-08-2022,70
21-08-2022,76
28-08-2022,68
04-09-2022,72
11-09-2022,74
18-09-2022,71
25-09-2022,64
02-10-2022,61
09-10-2022,69
16-10-2022,65
23-10-2022,57
30-10-2022,73
06-11-2022,66
13-11-2022,68
20-11-2022,65
27-11-2022,65
04-12-2022,64
11-12-2022,64
18-12-2022,65
25-12-2022,65
01-01-2023,69
08-01-2023,74
15-01-2023,73
22-01-2023,72
29-01-2023,72
05-02-2023,73
12-02-2023,73
19-02-2023,77
26-02-2023,77
05-03-2023,76
12-03-2023,82
19-03-2023,81
26-03-2023,80
02-04-2023,76
09-04-2023,81
16-04-2023,76
23-04-2023,73
30-04-2023,72
07-05-2023,72
14-05-2023,79
21-05-2023,77
28-05-2023,89
04-06-2023,83
11-06-2023,98
18-06-2023,96
25-06-2023,88
02-07-2023,97
09-07-2023,99
16-07-2023,97
23-07-2023,99
30-07-2023,91
06-08-2023,88
13-08-2023,87
20-08-2023,91
27-08-2023,86
03-09-2023,85
10-09-2023,83
17-09-2023,80
24-09-2023,83
01-10-2023,85
08-10-2023,75
15-10-2023,72
22-10-2023,73
29-10-2023,73
05-11-2023,68
12-11-2023,67
19-11-2023,85
26-11-2023,77
03-12-2023,79
10-12-2023,83
17-12-2023,74
24-12-2023,72
31-12-2023,80
07-01-2024,89
14-01-2024,89
21-01-2024,89
28-01-2024,94
04-02-2024,93
11-02-2024,89
18-02-2024,100
25-02-2024,96
03-03-2024,91
